timestamp,best_bid,best_ask,mid,bid_quote,ask_quote,imbalance,inventory,cash,pnl
2025-12-30T11:53:23.932717,10016.0,10020.0,10018.0,10015.14,10020.14,-0.0373,1,-9938.25,79.75
2025-12-30T11:53:24.244340,9989.0,9993.0,9991.0,9987.82,9992.82,-0.2536,1,-9938.25,52.75
2025-12-30T11:53:24.556572,9988.0,9990.0,9989.0,9986.32,9991.32,0.0792,1,-9938.25,50.75
2025-12-30T11:53:24.862967,10012.0,10014.0,10013.0,10010.19,10015.19,-0.0055,1,-9938.25,74.75
2025-12-30T11:53:25.169421,10005.0,10007.0,10006.0,10002.97,10007.97,-0.1521,1,-9938.25,67.75
2025-12-30T11:53:25.476856,9992.0,9994.0,9993.0,9990.02,9995.02,-0.121,1,-9938.25,54.75
2025-12-30T11:53:25.786071,9991.0,9993.0,9992.0,9989.44,9994.44,0.1632,1,-9938.25,53.75
2025-12-30T11:53:26.088147,10007.0,10011.0,10009.0,10005.93,10010.93,-0.178,1,-9938.25,70.75
2025-12-30T11:53:26.391496,9989.0,9993.0,9991.0,9988.51,9993.51,0.2098,1,-9938.25,52.75
2025-12-30T11:53:26.698623,10006.0,10010.0,10008.0,10005.68,10010.68,0.322,1,-9938.25,69.75
2025-12-30T11:53:27.012170,9983.0,9985.0,9984.0,9981.5,9986.5,0.2,1,-9938.25,45.75
2025-12-30T11:53:27.321382,9985.0,9989.0,9987.0,9984.77,9989.77,0.3814,1,-9938.25,48.75
2025-12-30T11:53:27.623066,9987.0,9991.0,9989.0,9986.52,9991.52,0.2105,1,-9938.25,50.75
2025-12-30T11:53:27.934521,9991.0,9995.0,9993.0,9990.27,9995.27,0.0492,1,-9938.25,54.75
2025-12-30T11:53:28.245679,10005.0,10007.0,10006.0,10003.33,10008.33,0.0851,1,-9938.25,67.75
2025-12-30T11:53:28.546724,9979.0,9981.0,9980.0,9977.78,9982.78,0.3863,1,-9938.25,41.75
2025-12-30T11:53:28.858073,9996.0,9998.0,9997.0,9993.99,9998.99,-0.1429,1,-9938.25,58.75
2025-12-30T11:53:29.170636,9988.0,9992.0,9990.0,9987.17,9992.17,-0.0202,1,-9938.25,51.75
2025-12-30T11:53:29.480843,9989.0,9991.0,9990.0,9986.93,9991.93,-0.181,1,-9938.25,51.75
2025-12-30T11:53:29.780904,9992.0,9996.0,9994.0,9991.1,9996.1,-0.0698,1,-9938.25,55.75
2025-12-30T11:53:30.091098,10005.0,10007.0,10006.0,10003.32,10008.32,0.0787,1,-9938.25,67.75
2025-12-30T11:53:30.393128,9982.0,9986.0,9984.0,9980.98,9985.98,-0.1443,1,-9938.25,45.75
2025-12-30T11:53:30.704146,10002.0,10004.0,10003.0,10000.61,10005.61,0.2735,1,-9938.25,64.75
2025-12-30T11:53:31.013926,9993.0,9995.0,9994.0,9990.84,9995.84,-0.2407,1,-9938.25,55.75
2025-12-30T11:53:31.319933,9991.0,9993.0,9992.0,9988.85,9993.85,-0.2302,1,-9938.25,53.75
2025-12-30T11:53:31.637333,10019.0,10021.0,10020.0,10016.95,10021.95,-0.1644,1,-9938.25,81.75
2025-12-30T11:53:31.940790,10017.0,10021.0,10019.0,10016.15,10021.15,-0.0366,1,-9938.25,80.75
2025-12-30T11:53:32.241907,9987.0,9989.0,9988.0,9985.8,9990.8,0.4,1,-9938.25,49.75
2025-12-30T11:53:32.552498,10017.0,10021.0,10019.0,10016.15,10021.15,-0.0308,1,-9938.25,80.75
2025-12-30T11:53:32.856229,9991.0,9995.0,9993.0,9989.98,9994.98,-0.1479,1,-9938.25,54.75
2025-12-30T11:53:33.156240,9980.0,9984.0,9982.0,9979.5,9984.5,0.2025,1,-9938.25,43.75
2025-12-30T11:53:33.463642,10017.0,10019.0,10018.0,10014.35,10019.35,-0.569,1,-9938.25,79.75
2025-12-30T11:53:33.765808,9994.0,9996.0,9995.0,9992.28,9997.28,0.0514,1,-9938.25,56.75
2025-12-30T11:53:34.071315,9981.0,9985.0,9983.0,9980.02,9985.02,-0.121,1,-9938.25,44.75
2025-12-30T11:53:34.373119,10002.0,10004.0,10003.0,10000.45,10005.45,0.1698,1,-9938.25,64.75
2025-12-30T11:53:34.682597,10003.0,10007.0,10005.0,10002.35,10007.35,0.1028,1,-9938.25,66.75
2025-12-30T11:53:34.994243,9984.0,9988.0,9986.0,9983.31,9988.31,0.0704,1,-9938.25,47.75
2025-12-30T11:53:35.307511,9997.0,10001.0,9999.0,9995.5,10000.5,-0.4673,1,-9938.25,60.75
2025-12-30T11:53:35.614060,10012.0,10016.0,10014.0,10010.75,10015.75,-0.3014,1,-9938.25,75.75
2025-12-30T11:53:35.919599,10013.0,10015.0,10014.0,10011.34,10016.34,0.092,1,-9938.25,75.75
2025-12-30T11:53:36.223895,10012.0,10016.0,10014.0,10011.17,10016.17,-0.0218,1,-9938.25,75.75
2025-12-30T11:53:36.527003,10018.0,10022.0,10020.0,10017.56,10022.56,0.2389,1,-9938.25,81.75
2025-12-30T11:53:36.839110,9992.0,9994.0,9993.0,9990.3,9995.3,0.0648,1,-9938.25,54.75
2025-12-30T11:53:37.152123,9996.0,10000.0,9998.0,9995.04,10000.04,-0.104,1,-9938.25,59.75
2025-12-30T11:53:37.464998,9985.0,9987.0,9986.0,9982.88,9987.88,-0.2153,1,-9938.25,47.75
